Grantee Name,Grantee Type,Grantee City,Grantee State,Licensee Name
KAMU-TV                                                                         ,TV,College Station,TX,Texas A&M University
KEDT-TV                                                                         ,TV,Corpus Christi,TX,"South Texas Public Broadcasting System, Inc."
KERA-TV                                                                         ,TV,Dallas,TX,"North Texas Public Broadcasting, Inc."
KUHT-TV                                                                         ,TV,Houston,TX,University of Houston System
KTTZ-TV,TV,Lubbock,TX,Texas Tech University
KPBT-TV,TV,Midland,TX,"Permian Basin Public Telecommunications, Inc."
KUEN-TV,TV,Salt Lake City,UT,Utah State Board of Regents
KUED-TV                                                                         ,TV,Salt Lake City,UT,University of Utah
WETA-TV                                                                         ,TV,Arlington,VA,"The Greater Washington Educational Telecommunications Association, Inc."
WHRO-TV                                                                         ,TV,Norfolk,VA,"Hampton Roads Educational Telecommunications Association, Inc."
WCVE-TV                                                                         ,TV,Richmond,VA,VPM Media Corporation
WBRA-TV,TV,Roanoke,VA,"Blue Ridge Public Television, Inc."
WTJX-TV                                                                         ,TV,St. Thomas,VI,Virgin Islands Public Broadcasting System
Vermont PBS,TV,Colcester,VT,Vermont Public Co.
KWSU-TV                                                                         ,TV,Pullman,WA,Washington State University
KCTS-TV                                                                         ,TV,Seattle,WA,Cascade Public Media
KSPS-TV                                                                         ,TV,Spokane,WA,Friends of KSPS
KBTC-TV                                                                         ,TV,Tacoma,WA,Bates Technical College
Wisconsin Network,TV,Madison,WI,Wisconsin Educational Communications Board
WHA-TV                                                                          ,TV,Madison,WI,Board of Regents of the University of Wisconsin System
WMVS-TV                                                                         ,TV,Milwaukee,WI,Milwaukee Area Technical College District Board
WVPB-TV,TV,Charleston,WV,West Virginia Educational Broadcasting Authority
KCWC-TV                                                                         ,TV,Riverton ,WY,Central Wyoming College
KSKA-FM                                                                         ,Radio,Anchorage,AK,Alaska Public Media
KNBA-FM                                                                         ,Radio,Anchorage,AK,Koahnic Broadcast Corporation
KBRW-AM                                                                         ,Radio,Barrow,AK,"Silakkuagvik Communications, Inc."
KYUK-AM                                                                         ,Radio,Bethel,AK,"Bethel Broadcasting, Inc."
KCUK-FM                                                                         ,Radio,Chevak,AK,Kashunamiut School District
KUAC-FM                                                                         ,Radio,Fairbanks,AK,University of Alaska
KDLG-AM                                                                         ,Radio,Dillingham ,AK,Dillingham City School District
KZPA-AM                                                                         ,Radio,Ft. Yukon,AK,"Gwandak Public Broadcasting, Inc."
KIYU-FM,Radio,Galena,AK,Big River Public Broadcasting Corporation
KHNS-FM                                                                         ,Radio,Haines ,AK,Lynn Canal Broadcasting
KBBI-AM                                                                         ,Radio,Homer ,AK,"Kachemak Bay Broadcasting, Inc."
KTOO-FM                                                                         ,Radio,Juneau,AK,KTOO Public Media
KRBD-FM                                                                         ,Radio,Ketchikan,AK,Rainbird Community Broadcasting Corporation
KMXT-FM                                                                         ,Radio,Kodiak ,AK,Kodiak Public Broadcasting Corporation
KOTZ-AM                                                                         ,Radio,Kotzebue,AK,"Kotzebue Broadcasting, Inc"
KSKO-FM,Radio,McGrath,AK,Kuskokwim Public Broadcasting Corporation
KFSK-FM                                                                         ,Radio,Petersburg,AK,Narrows Broadcasting Corporation
KSDP-AM                                                                         ,Radio,Sand Point,AK,"Aleutian Peninsula Broadcasting, Inc."
KCAW-FM                                                                         ,Radio,Sitka,AK,"Raven Radio Foundation, Inc."
KUHB-FM                                                                         ,Radio,St. Paul,AK,Pribilof School District Board of Education
KTNA-FM,Radio,Talkeetna ,AK,"Talkeetna Community Radio, Inc."
KNSA-AM                                                                         ,Radio,Unalakleet ,AK,"Unakleet Broadcasting, Inc."
KUCB-FM,Radio,Unalaska ,AK,"Unalaska Community Broadcasting, Inc."
KCHU-AM                                                                         ,Radio,Valdez ,AK,Terminal Radio Inc.
KSTK-FM                                                                         ,Radio,Wrangell,AK,"CoastAlaska, Inc."
KDLL-FM,Radio,Kenai,AK,"Pickle Hill Public Broadcasting, Inc."
KRFF-FM,Radio,Fairbanks,AK,"Athabascan Fiddlers Association, Inc."
WBHM-FM,Radio,Birmingham,AL,Trustees of the University of Alabama for the University of Alabama at Birmingham
WJAB-FM                                                                         ,Radio,Normal,AL,Alabama A&M University
WLRH-FM                                                                         ,Radio,Huntsville,AL,Alabama Educational Television Commission
WVAS-FM                                                                         ,Radio,Montgomery,AL,Alabama State University
WTSU-FM                                                                         ,Radio,Troy,AL,Troy University
WUAL-FM                                                                         ,Radio,Tuscaloosa,AL,The Board of Trustees of the University of Alabama
KUAF-FM                                                                         ,Radio,Fayetteville,AR,"Board of Trustees, University of Arkansas"
KASU-FM                                                                         ,Radio,State university ,AR,Arkansas State University
KUAR-FM                                                                         ,Radio,Little Rock,AR,Board of Trustees of the University of Arkansas
KNAU-FM                                                                         ,Radio,Flagstaff,AZ,Arizona Board of Regents for and on behalf of Northern Arizona University
KBAQ-FM                                                                         ,Radio,Tempe,AZ,Maricopa County Community College District/ArizonaState University
KJZZ-FM                                                                         ,Radio,Tempe,AZ,Maricopa County Community College District
KUAZ-FM                                                                         ,Radio,Tucson,AZ,University of Arizona
KXCI-FM                                                                         ,Radio,Tucson,AZ,"Foundation for Creative Broadcasting, Inc."
KNNB-FM                                                                         ,Radio,Whiteriver,AZ,Apache Radio Broadcasting Corporation
KAWC-FM,Radio,Yuma,AZ,Arizona Western College
KUYI-FM,Radio,Kykotsmovi,AZ,The Hopi Foundation
KGHR-FM,Radio,Tuba City,AZ,"Tuba City High School Board, Inc."
KOHN-FM,Radio,Sells,AZ,Tohono O'odham Nation
