station_id,station_name,candidate_url,score
virgin-islands-public-broadcasting-system,Virgin Islands Public Broadcasting System,https://viconsortium.com/vi-crime/virgin-islands-43-year-old-man-arrested-after-minor-reports-sexual-assault,13
koahnic-broadcast-corporation,Koahnic Broadcast Corporation,https://koahnic.org/about-us/employment,11
koahnic-broadcast-corporation,Koahnic Broadcast Corporation,https://koahnic.org/about-us,10
koahnic-broadcast-corporation,Koahnic Broadcast Corporation,https://www.knba.org/koahnic-broadcast-corporation,10
lynn-canal-broadcasting,Lynn Canal Broadcasting,https://khns.org/about-khns/,9
lynn-canal-broadcasting,Lynn Canal Broadcasting,https://khns.org/about-khns/khns-board-of-directors/,9
lynn-canal-broadcasting,Lynn Canal Broadcasting,https://khns.org/about-khns/on-air-talent/,9
kodiak-public-broadcasting-corporation,Kodiak Public Broadcasting Corporation,https://kodiak.org/about/,11
kodiak-public-broadcasting-corporation,Kodiak Public Broadcasting Corporation,https://www.kmxt.org/about/eeo-reports,11
kodiak-public-broadcasting-corporation,Kodiak Public Broadcasting Corporation,https://kodiak.org/about,10
raven-radio-foundation-inc,"Raven Radio Foundation, Inc.",https://www.ravenfoundation.org/about-us/,11
raven-radio-foundation-inc,"Raven Radio Foundation, Inc.",https://www.ravenfoundation.org/exodus-from-hell-unlearning-teachings-about-salvation/,11
raven-radio-foundation-inc,"Raven Radio Foundation, Inc.",https://www.ravenfoundation.org/about,10
tuba-city-high-school-board-inc,"Tuba City High School Board, Inc.",https://tcb.bie.edu/our-school/contact-us,9
tuba-city-high-school-board-inc,"Tuba City High School Board, Inc.",https://tcb.bie.edu/our-school/our-history,9
tuba-city-high-school-board-inc,"Tuba City High School Board, Inc.",https://tcb.bie.edu/our-school/our-team,9
chico-state-enterprises,Chico State Enterprises,https://krcrtv.com/weather/cameras/northstate-sky-cams,9
chico-state-enterprises,Chico State Enterprises,https://www.mynspr.org/about-nspr,8
chico-state-enterprises,Chico State Enterprises,https://www.mynspr.org/governance-and-public-reports,8
laguna-radio-inc,Laguna Radio Inc.,https://kfiam640.iheart.com/content/public-file-assistance/,9
laguna-radio-inc,Laguna Radio Inc.,https://kfiam640.iheart.com/featured/michael-monks-reports/,9
laguna-radio-inc,Laguna Radio Inc.,https://kxfmradio.org/about/,9
equal-rep-of-media-advocacy-corp,Equal Rep. of Media Advocacy Corp.,https://fcc.report/About,8
carbondale-community-access-radio,Carbondale Community Access Radio,https://www.kdnk.org/about,8
carbondale-community-access-radio,Carbondale Community Access Radio,https://www.kdnk.org/community-calendar,8
carbondale-community-access-radio,Carbondale Community Access Radio,https://www.kdnk.org/rocky-mountain-community-radio,8
community-radio-project-inc,"Community Radio Project, Inc.",http://communitypublicradio.org/about/public-files,14
community-radio-project-inc,"Community Radio Project, Inc.",http://communitypublicradio.org/about/financials,12
community-radio-project-inc,"Community Radio Project, Inc.",http://communitypublicradio.org/about/reports,12
pulbic-radio-for-the-front-range,Pulbic Radio for the Front Range,https://cinradio.org/reports-and-filings/,4
pulbic-radio-for-the-front-range,Pulbic Radio for the Front Range,https://thepublicsradio.org/the-publics-radio-financials/,4
